"F_Id","F_ItemType","F_ItemId","F_ObjectType","F_ObjectId","F_SortCode","F_CreatorTime","F_CreatorUserId"
"66145bdad9b44242b858a17561eb2ba6","module","698d6192107142c4888901b7a427a8ba","Role","94e3a9bb0fce4547886972998fddba1c","308","15/1/2021 15:34:45","admin"
"661a01dedc8449deab71912ef07ab10f","column","41FC1581-2A8A-48DA-A207-E1266C4A893F","Role","d2b2418a2f664c61abf0053ff5d57783","690","20/1/2021 14:17:51","admin"
"661d6900b79c4ea9a05340e8c3982534","button","af4f63df5dac47bcb67f2047b2c6707a","Role","d2b2418a2f664c61abf0053ff5d57783","123","20/1/2021 14:17:51","admin"
"661f8b4736f0413ab3dd5813d82744df","resource","232d7226f00446d882e1e1bd999f7b2d","Role","94e3a9bb0fce4547886972998fddba1c","761","15/1/2021 15:34:45","admin"
"66284e5ddf2b4b5293d75a3d063c472b","column","C9998351-03E7-449D-B911-666E83F8549E","Role","94e3a9bb0fce4547886972998fddba1c","517","15/1/2021 15:34:45","admin"
"6695852f07ad4af18167499dd6ebfd08","button","1e27a0ad83e44c2a83a2a0954eb4f1cb","Role","9126c0cbbb954b84a856cc6f97617925","1","22/1/2021 11:00:36","admin"
"669fab1615f94f4ab784aaa6245a8331","column","b7f4664b11054a989ceb7a153278b79e","Role","94e3a9bb0fce4547886972998fddba1c","631","15/1/2021 15:34:45","admin"
"66ae39e8718d402688a10b5a63f6c5b4","button","e6b50a35425d449e947c9040ce053e69","Role","d2b2418a2f664c61abf0053ff5d57783","256","20/1/2021 14:17:51","admin"
"66b12a0dc6d1425b962ae880e4cb6afd","module","C9998351-03E7-449D-B911-666E83F8549E","Role","94e3a9bb0fce4547886972998fddba1c","295","15/1/2021 15:34:45","admin"
"66c31fda75b84d58a8dac1be5450d4bb","module","3c0370e4f96f4e6282ed691744235d37","Role","9126c0cbbb954b84a856cc6f97617925","12","22/1/2021 11:00:36","admin"
"6714295762ed442ca8bfbcdcf69a6f07","resource","11ea9e587d144e30a59c1630e2fedfdb","Role","d2b2418a2f664c61abf0053ff5d57783","880","20/1/2021 14:17:51","admin"
"6718c94d6673411481286331db6f1566","column","6383fe1f354348b78c503793b8dd1d86","Role","94e3a9bb0fce4547886972998fddba1c","734","15/1/2021 15:34:45","admin"
"672a05eac880433daefdb764b2737ae4","button","c7159f97177b420d9fc8ec8c74ae541b","Role","fed9a1995b0143d496ed36b7fbafbabb","9","13/1/2021 22:07:11","048657c1-ecb1-4e5d-aced-6126ceae779e"
"6785f55cee924d8b897846a5cf23b492","button","64d47f6a6cbe4105a223b212c09118ca","Role","94e3a9bb0fce4547886972998fddba1c","6","15/1/2021 15:34:45","admin"
"6806ef877ad64b1b97d708f0091a2dc7","column","ed8e56ffc6cf499eb8a814614dc283d7","Role","d2b2418a2f664c61abf0053ff5d57783","492","20/1/2021 14:17:51","admin"
"6807798dfe8a4b50beb72316bf4cbcad","column","c0c43d5c8aaf416abc77582ef83587d7","Role","94e3a9bb0fce4547886972998fddba1c","704","15/1/2021 15:34:45","admin"
"68271bf715564a479cd075f8faeba1f9","module","4d2cb987fd9047d19e010cce01039fea","Role","d2b2418a2f664c61abf0053ff5d57783","331","20/1/2021 14:17:51","admin"
"682c4d1dc3674ca1ab0a6b51b6c93ecf","column","ef96d397af964fb7a4363c516270a4f4","Role","94e3a9bb0fce4547886972998fddba1c","587","15/1/2021 15:34:45","admin"
"68496d16fb0d476bba4a8911fe371e58","column","14b23ef533b54dd7a57b55b5ab813bfe","Role","94e3a9bb0fce4547886972998fddba1c","541","15/1/2021 15:34:45","admin"
